sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
S_6_2_P1;DOM_1_II_A;2;DOM_1_2;DOM_1_2_a;DOM;3815;3800;1;paramo;above;S_S1_5;P1;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
N_PCRB3_P1;;;;;;;;;;;;P1;N;;;;;;;;;;;;;;;;;;;;
E_W4_P1;;;;;;;;;;;;P1;E;E_W4;;;;;;;;;;;;;;;;;;;
S_S1_1_P1;soil_NV_1;S;NV_1_S;NV_1_S;NV;3830;3800;1;paramo;above;S_S1_1;P1;S;E_S1_8;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
E_BC_P1;;;;;;;;;;;;P1;E;E_BC;;;;;;;;;;;;;;;;;;;
P_PC1_3_P1;;;;;;;;;;;;P1;P;E_BC;;;;;;;;;;;;;;;;;;;
T_T7_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
N_PCRB4_P1;;;;;;;;;;;;P1;N;;;;;;;;;;;;;;;;;;;;
S_S1_3_P1;soil_NV_3;S;NV_3_S;NV_3_S;NV;3333;3300;3;forest;below;S_S1_3;P1;S;E_S1_8;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_S1_4_P1;soil_NV_4;S;NV_4_S;NV_4_S;NV;3078;3000;3;forest;below;S_S1_4;P1;S;E_S1_8;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
